Photon    Incoher. Photoel. 
Energy    Scatter. Absorb.  

1.000E-03 5.916E-03 7.794E+03 
1.035E-03 6.244E-03 7.245E+03 
1.072E-03 6.586E-03 6.736E+03 
1.072E-03 6.586E-03 7.021E+03 
1.072E-03 6.586E-03 7.925E+03 
1.072E-03 6.587E-03 7.021E+03 
1.072E-03 6.587E-03 7.924E+03 
1.500E-03 1.065E-02 3.801E+03 
2.000E-03 1.541E-02 1.917E+03 
3.000E-03 2.459E-02 7.003E+02 
4.000E-03 3.292E-02 3.351E+02 
4.557E-03 3.712E-02 2.387E+02 
4.557E-03 3.712E-02 6.585E+02 
4.702E-03 3.816E-02 6.166E+02 
4.852E-03 3.923E-02 5.774E+02 
4.852E-03 3.923E-02 7.719E+02 
5.000E-03 4.026E-02 7.277E+02 
5.188E-03 4.155E-02 6.611E+02 
5.188E-03 4.155E-02 7.604E+02 
6.000E-03 4.679E-02 5.297E+02 
8.000E-03 5.799E-02 2.489E+02 
1.000E-02 6.731E-02 1.375E+02 
1.500E-02 8.410E-02 4.570E+01 
2.000E-02 9.463E-02 2.062E+01 
3.000E-02 1.067E-01 6.607E+00 
3.317E-02 1.090E-01 4.972E+00 
3.317E-02 1.090E-01 2.976E+01 
4.000E-02 1.127E-01 1.824E+01 
5.000E-02 1.157E-01 1.006E+01 
6.000E-02 1.169E-01 6.111E+00 
8.000E-02 1.165E-01 2.746E+00 
1.000E-01 1.144E-01 1.462E+00 
1.500E-01 1.071E-01 4.592E-01 
2.000E-01 1.000E-01 2.019E-01 
3.000E-01 8.860E-02 6.481E-02 
4.000E-01 8.009E-02 2.987E-02 
5.000E-01 7.351E-02 1.684E-02 
6.000E-01 6.822E-02 1.079E-02 
8.000E-01 6.012E-02 5.588E-03 
1.000E+00 5.413E-02 3.491E-03 
1.022E+00 5.355E-02 3.323E-03 
1.250E+00 4.846E-02 2.240E-03 
1.500E+00 4.407E-02 1.604E-03
